iter	RMSE
0	0.9761494224
1	0.9532459143
2	0.9327582515
3	0.9109814825
4	0.8897818746
5	0.8701096807
6	0.8501023748
7	0.8320227947
8	0.8143853845
9	0.7989638754
10	0.7825014161
11	0.7652357526
12	0.748978958
13	0.733229975
14	0.7186284295
15	0.7035878769
16	0.6895871773
17	0.6754324434
18	0.6616568444
19	0.648474247
20	0.6354011492
21	0.6222518968
22	0.6101238088
23	0.5988320537
24	0.5872330276
25	0.5773357642
26	0.5671192149
27	0.5576368213
28	0.5483224687
29	0.5378997956
30	0.528618141
31	0.519447463
32	0.5100790905
33	0.5008744008
34	0.492005737
35	0.4837521753
36	0.4753423409
37	0.4673866557
38	0.4595096547
39	0.4516836139
40	0.4445590859
41	0.4379527475
42	0.4313644936
43	0.4254156039
44	0.418796304
45	0.411993605
46	0.406177234
47	0.4004847363
48	0.3945369432
49	0.3892345566
50	0.3840821411
51	0.3787060429
52	0.3736587055
53	0.3685078922
54	0.3636027157
55	0.3594748895
56	0.3551848118
57	0.350873283
58	0.3466716889
59	0.3425354305
60	0.3386685581
61	0.3346210617
62	0.3310926985
63	0.3276883973
64	0.3243974128
65	0.3210843044
66	0.3176763334
67	0.3143377325
68	0.3115584473
69	0.3083195642
70	0.3050645502
71	0.3026580835
72	0.2997659144
73	0.2972223352
74	0.2943162456
75	0.2917656655
76	0.2893180575
77	0.2867903799
78	0.2845381016
79	0.2820997131
80	0.2801552719
81	0.2778778583
82	0.2758869423
83	0.2738231396
84	0.2717520187
85	0.2696889566
86	0.267756691
87	0.2659679551
88	0.2642498908
89	0.2623267236
90	0.2605430376
91	0.2587682329
92	0.2568954596
93	0.2555337161
94	0.254037432
95	0.2528209564
96	0.2511465645
97	0.2499057023
98	0.2484469206
99	0.2470097828
100	0.2456785558
101	0.2444486002
102	0.243286316
103	0.242154573
104	0.2411152192
105	0.239858432
106	0.2388189559
107	0.2375842238
108	0.2364440987
109	0.2353582097
110	0.2341959627
111	0.2331858931
112	0.2318348514
113	0.230779743
114	0.2297337338
115	0.2286158498
