iter	Passed	Remaining
432	1597	2092
433	1601	2088
434	1605	2084
435	1609	2081
436	1612	2077
437	1616	2073
438	1620	2070
439	1623	2066
440	1627	2062
441	1631	2059
442	1634	2055
443	1638	2051
444	1641	2047
445	1645	2044
446	1649	2040
447	1653	2036
448	1656	2032
449	1660	2029
450	1664	2025
451	1668	2022
452	1671	2018
453	1675	2014
454	1678	2010
455	1682	2007
456	1686	2003
457	1690	2000
458	1693	1996
459	1697	1992
460	1700	1988
461	1704	1984
462	1707	1980
463	1711	1977
464	1715	1973
465	1719	1970
466	1723	1966
467	1726	1962
468	1730	1959
469	1734	1955
470	1737	1951
471	1741	1947
472	1744	1944
473	1749	1940
474	1752	1937
475	1756	1933
476	1760	1930
477	1764	1926
478	1767	1922
479	1771	1918
480	1774	1915
481	1778	1911
482	1782	1907
483	1785	1903
484	1789	1900
485	1793	1896
486	1797	1892
487	1800	1889
488	1804	1885
489	1808	1882
490	1812	1878
491	1816	1875
492	1820	1872
493	1824	1868
494	1828	1865
495	1831	1861
496	1835	1857
497	1839	1854
498	1843	1850
499	1847	1847
500	1851	1843
501	1854	1839
502	1858	1836
503	1861	1832
504	1865	1828
505	1869	1824
506	1872	1821
507	1877	1817
508	1880	1814
509	1884	1810
510	1888	1807
511	1892	1803
512	1895	1799
513	1899	1795
514	1903	1792
515	1906	1788
516	1910	1784
517	1913	1780
518	1917	1776
519	1921	1773
520	1925	1769
521	1928	1766
522	1932	1762
523	1935	1758
524	1939	1754
525	1943	1751
526	1947	1747
527	1951	1744
528	1955	1740
529	1959	1737
530	1963	1733
531	1966	1729
532	1970	1726
533	1973	1722
534	1977	1718
535	1981	1715
536	1985	1711
537	1988	1707
538	1992	1704
539	1996	1700
540	1999	1696
541	2003	1693
542	2007	1689
543	2011	1685
544	2014	1682
545	2018	1678
546	2022	1674
547	2025	1670
548	2029	1667
549	2033	1663
550	2036	1659
551	2040	1655
552	2043	1652
553	2047	1648
554	2051	1644
555	2055	1641
556	2058	1637
557	2062	1633
558	2066	1630
559	2070	1626
560	2073	1622
561	2077	1618
562	2080	1615
563	2085	1611
564	2088	1607
565	2092	1604
566	2096	1600
567	2100	1597
568	2104	1593
569	2107	1590
570	2111	1586
571	2115	1582
572	2119	1579
573	2122	1575
574	2126	1571
575	2130	1568
576	2134	1564
577	2138	1561
578	2142	1557
579	2145	1553
580	2149	1550
581	2153	1546
582	2156	1542
583	2160	1539
584	2165	1535
585	2168	1532
586	2172	1528
587	2176	1525
588	2180	1521
589	2184	1517
590	2188	1514
591	2191	1510
592	2195	1507
593	2199	1503
594	2203	1499
595	2206	1495
596	2210	1492
597	2214	1488
598	2218	1484
599	2221	1481
600	2226	1477
601	2229	1474
602	2233	1470
603	2237	1466
604	2241	1463
605	2244	1459
606	2248	1455
607	2251	1451
608	2255	1448
609	2259	1444
610	2262	1440
611	2266	1437
612	2270	1433
613	2274	1429
614	2277	1425
615	2281	1422
616	2284	1418
617	2288	1414
618	2291	1410
619	2295	1406
620	2299	1403
621	2303	1399
622	2307	1396
623	2311	1392
624	2315	1389
625	2318	1385
626	2322	1381
627	2325	1377
628	2329	1374
629	2333	1370
630	2337	1366
631	2341	1363
632	2345	1359
633	2348	1355
634	2352	1352
635	2356	1348
636	2359	1344
637	2363	1341
638	2367	1337
639	2371	1333
640	2374	1330
641	2378	1326
642	2382	1322
643	2386	1319
644	2390	1315
645	2394	1311
646	2397	1308
647	2401	1304
648	2404	1300
649	2408	1296
650	2411	1292
651	2415	1289
652	2418	1285
653	2422	1281
654	2426	1278
655	2430	1274
656	2433	1270
657	2437	1267
658	2441	1263
659	2445	1259
660	2448	1255
661	2452	1252
662	2455	1248
663	2459	1244
664	2463	1240
665	2467	1237
666	2470	1233
667	2474	1229
668	2478	1226
669	2481	1222
670	2485	1218
671	2488	1214
672	2492	1211
673	2495	1207
674	2499	1203
675	2503	1199
676	2507	1196
677	2510	1192
678	2515	1188
679	2518	1185
680	2522	1181
681	2525	1177
682	2529	1174
683	2533	1170
684	2536	1166
685	2540	1163
686	2544	1159
687	2548	1155
688	2552	1152
689	2556	1148
690	2560	1144
691	2563	1141
692	2567	1137
693	2571	1133
694	2574	1129
695	2578	1126
696	2582	1122
697	2586	1118
698	2590	1115
699	2593	1111
700	2597	1108
701	2602	1104
702	2605	1100
703	2609	1097
704	2613	1093
705	2616	1089
706	2620	1086
707	2624	1082
708	2628	1078
709	2631	1074
710	2635	1071
711	2638	1067
712	2642	1063
713	2646	1060
714	2650	1056
715	2653	1052
716	2657	1049
717	2661	1045
718	2665	1041
719	2669	1037
720	2672	1034
721	2676	1030
722	2680	1027
723	2684	1023
724	2688	1019
725	2691	1015
726	2696	1012
727	2699	1008
728	2703	1004
729	2707	1001
730	2710	997
731	2714	993
732	2717	989
733	2721	986
734	2725	982
735	2729	978
736	2733	975
737	2737	971
738	2741	968
739	2745	964
740	2748	960
741	2752	957
742	2756	953
743	2760	949
744	2764	946
745	2767	942
746	2771	938
747	2775	934
748	2778	931
749	2782	927
750	2786	923
751	2790	920
752	2793	916
753	2797	912
754	2801	909
755	2804	905
756	2808	901
757	2812	897
758	2815	894
759	2819	890
760	2823	886
761	2826	882
762	2829	878
763	2833	875
764	2836	871
765	2840	867
766	2843	863
767	2847	860
768	2850	856
769	2854	852
770	2857	848
771	2861	845
772	2865	841
773	2868	837
774	2872	833
775	2875	830
776	2879	826
777	2883	822
778	2886	818
779	2890	815
780	2893	811
781	2897	807
782	2900	803
783	2904	800
784	2907	796
785	2911	792
786	2915	789
787	2919	785
788	2922	781
789	2925	777
790	2929	774
791	2932	770
792	2936	766
793	2940	762
794	2943	759
795	2947	755
796	2950	751
797	2954	747
798	2957	744
799	2961	740
800	2964	736
801	2968	732
802	2972	729
803	2975	725
804	2979	721
805	2983	718
806	2986	714
807	2990	710
808	2994	706
809	2997	703
810	3002	699
811	3006	696
812	3010	692
813	3014	688
814	3018	685
815	3022	681
816	3025	677
817	3029	674
818	3033	670
819	3037	666
820	3040	662
821	3044	659
822	3048	655
823	3052	652
824	3056	648
825	3060	644
826	3064	641
827	3068	637
828	3072	633
829	3075	629
830	3079	626
831	3082	622
832	3086	618
833	3090	615
834	3094	611
835	3098	607
836	3102	604
837	3106	600
838	3109	596
839	3113	593
840	3117	589
841	3121	585
842	3125	582
843	3129	578
844	3132	574
845	3136	571
846	3140	567
847	3144	563
848	3148	559
849	3151	556
850	3155	552
851	3159	548
852	3163	545
853	3166	541
854	3171	537
855	3175	534
856	3179	530
857	3182	526
858	3186	523
859	3190	519
860	3194	515
861	3198	512
862	3202	508
863	3205	504
864	3209	500
865	3213	497
866	3217	493
867	3220	489
868	3224	486
869	3227	482
870	3231	478
871	3235	474
872	3238	471
873	3242	467
874	3246	463
875	3249	460
876	3253	456
877	3257	452
878	3261	448
879	3265	445
880	3269	441
881	3272	437
882	3276	434
883	3279	430
884	3283	426
885	3287	423
886	3291	419
887	3295	415
888	3298	411
889	3302	408
890	3306	404
891	3310	400
892	3314	397
893	3318	393
894	3322	389
895	3326	386
896	3330	382
897	3333	378
898	3337	374
899	3341	371
900	3345	367
901	3348	363
902	3352	360
903	3356	356
904	3359	352
905	3363	348
906	3367	345
907	3371	341
908	3374	337
909	3377	334
910	3381	330
911	3384	326
912	3388	322
913	3391	319
914	3395	315
915	3398	311
916	3402	308
917	3406	304
918	3409	300
919	3413	296
920	3416	293
921	3420	289
922	3423	285
923	3426	281
924	3430	278
925	3434	274
926	3437	270
927	3441	267
928	3445	263
929	3450	259
930	3453	255
931	3457	252
932	3461	248
933	3464	244
934	3468	241
935	3472	237
936	3475	233
937	3479	229
938	3482	226
939	3486	222
940	3489	218
941	3494	215
942	3497	211
943	3501	207
944	3505	204
945	3508	200
946	3512	196
947	3516	192
948	3520	189
949	3524	185
950	3528	181
951	3531	178
952	3535	174
953	3539	170
954	3542	166
955	3546	163
956	3550	159
957	3553	155
958	3557	152
959	3561	148
960	3564	144
961	3568	140
962	3572	137
963	3575	133
964	3579	129
965	3583	126
966	3587	122
967	3591	118
968	3594	115
969	3598	111
970	3602	107
971	3605	103
972	3609	100
973	3612	96
974	3616	92
975	3620	89
976	3624	85
977	3627	81
978	3632	77
979	3636	74
980	3639	70
981	3643	66
982	3647	63
983	3650	59
984	3654	55
985	3658	51
986	3661	48
987	3665	44
988	3669	40
989	3672	37
990	3676	33
991	3680	29
992	3684	25
993	3687	22
994	3691	18
995	3695	14
996	3698	11
997	3702	7
998	3706	3
999	3710	0
